level_0,index,year,state,state_po,office,candidate,party,candidatevotes,totalvotes,democratvotes,republicanvotes,last_name,first_name,suffix,nickname,bioguide_id
120,120,1980,MAINE,ME,US HOUSE,"EMERY, David Farnham",REPUBLICAN,188667,275491,86819.0,188667.0,EMERY,DAVID,,,E000175
121,121,1980,MICHIGAN,MI,US HOUSE,"VANDER JAGT, Guy Adrian",REPUBLICAN,168713,174776,147280.0,168713.0,VANDER JAGT,GUY,,,V000027
122,122,1980,MINNESOTA,MN,US HOUSE,"OBERSTAR, James Louis",DEMOCRAT,182228,258765,182228.0,179393.0,OBERSTAR,JAMES,,,O000006
123,123,1980,MISSOURI,MO,US HOUSE,"TAYLOR, Gene",REPUBLICAN,161668,238512,151459.0,161668.0,TAYLOR,GENE,,,T000075
124,124,1980,MISSISSIPPI,MS,US HOUSE,"LOTT, Chester Trent",REPUBLICAN,131559,177975,128035.0,131559.0,LOTT,CHESTER,,,L000447
125,125,1980,MONTANA,MT,US HOUSE,"WILLIAMS, John Patrick",DEMOCRAT,112866,183740,112866.0,91431.0,WILLIAMS,JOHN,,,W000520
126,126,1980,NORTH CAROLINA,NC,US HOUSE,"BROYHILL, James Thomas",REPUBLICAN,120777,173262,108738.0,120777.0,BROYHILL,JAMES,,,B000966
127,127,1980,NORTH DAKOTA,ND,US HOUSE,"DORGAN, Byron Leslie",DEMOCRAT,166437,293076,166437.0,124707.0,DORGAN,BYRON,,,D000432
128,128,1980,NEBRASKA,NE,US HOUSE,"SMITH, Virginia Dodd",REPUBLICAN,182887,217870,88843.0,182887.0,SMITH,VIRGINIA,,,S000622
129,129,1980,NEW HAMPSHIRE,NH,US HOUSE,"D'AMOURS, Norman Edward",DEMOCRAT,114061,187646,114061.0,113304.0,D'AMOURS,NORMAN,,,D000017
130,130,1980,NEW JERSEY,NJ,US HOUSE,"FENWICK, Millicent Hammond",REPUBLICAN,156016,201299,147352.0,156016.0,FENWICK,MILLICENT,,,F000078
131,131,1980,NEW MEXICO,NM,US HOUSE,"LUJÁN, Manuel, Jr.",REPUBLICAN,125910,246813,120903.0,125910.0,LUJÁN,MANUEL,JR,,L000506
132,132,1980,NEVADA,NV,US HOUSE,"SANTINI, James David",DEMOCRAT,165107,236029,165107.0,63163.0,SANTINI,JAMES,,,S000058
133,133,1980,NEW YORK,NY,US HOUSE,"STRATTON, Samuel Studdiford",DEMOCRAT,164088,210655,164088.0,141763.0,STRATTON,SAMUEL,,,S000997
134,134,1980,OHIO,OH,US HOUSE,"REGULA, Ralph Straus",REPUBLICAN,149960,189179,144371.0,149960.0,REGULA,RALPH,,,R000141
135,135,1980,OKLAHOMA,OK,US HOUSE,"JONES, James Robert",DEMOCRAT,115381,197674,115381.0,90053.0,JONES,JAMES,,,J000232
136,136,1980,OREGON,OR,US HOUSE,"AuCOIN, Les",DEMOCRAT,203532,308635,203532.0,141854.0,AUCOIN,LES,,,A000337
137,137,1980,PENNSYLVANIA,PA,US HOUSE,"SHUSTER, E. G. (Bud)",REPUBLICAN,157241,157241,127641.0,157241.0,SHUSTER,E.,,,S000394
138,138,1980,RHODE ISLAND,RI,US HOUSE,"ST. GERMAIN, Fernand Joseph",DEMOCRAT,120756,178600,120756.0,115057.0,ST. GERMAIN,FERNAND,,,S000762
139,139,1980,SOUTH CAROLINA,SC,US HOUSE,"HOLLAND, Kenneth Lamar",DEMOCRAT,99773,114025,99773.0,92306.0,HOLLAND,KENNETH,,,H000719
140,140,1980,SOUTH DAKOTA,SD,US HOUSE,"DASCHLE, Thomas Andrew",DEMOCRAT,109910,167065,109910.0,88991.0,DASCHLE,THOMAS,,,D000064
141,141,1980,TENNESSEE,TN,US HOUSE,"DUNCAN, John James",REPUBLICAN,147947,194527,137612.0,147947.0,DUNCAN,JOHN,,,D000534
142,142,1980,TEXAS,TX,US HOUSE,"ARCHER, William Reynolds, Jr.",REPUBLICAN,242810,295684,144816.0,242810.0,ARCHER,WILLIAM,JR,,A000215
143,143,1980,UTAH,UT,US HOUSE,"MARRIOTT, David Daniel",REPUBLICAN,194885,290765,144459.0,194885.0,MARRIOTT,DAVID,,,M000143
144,144,1980,VIRGINIA,VA,US HOUSE,"ROBINSON, James Kenneth",REPUBLICAN,139957,140396,112143.0,139957.0,ROBINSON,JAMES,,,R000337
145,145,1980,VERMONT,VT,US HOUSE,"JEFFORDS, James Merrill",REPUBLICAN,154274,194697,,154274.0,JEFFORDS,JAMES,,,J000072
146,146,1980,WASHINGTON,WA,US HOUSE,"PRITCHARD, Joel McFee",REPUBLICAN,180475,230534,162002.0,180475.0,PRITCHARD,JOEL,,,P000546
147,147,1980,WISCONSIN,WI,US HOUSE,"SENSENBRENNER, Frank James, Jr.",REPUBLICAN,206227,263079,164340.0,206227.0,SENSENBRENNER,FRANK,JR,,S000244
148,148,1980,WEST VIRGINIA,WV,US HOUSE,"RAHALL, Nick Joe, II",DEMOCRAT,117595,153615,117595.0,102805.0,RAHALL,NICK,II,,R000011
149,149,1980,WYOMING,WY,US HOUSE,"CHENEY, Richard Bruce",REPUBLICAN,116361,169699,53338.0,116361.0,CHENEY,RICHARD,,,C000344
150,150,1982,ALASKA,AK,US HOUSE,"YOUNG, Donald Edwin",REPUBLICAN,128274,181084,52011.0,128274.0,YOUNG,DONALD,,,Y000033
151,151,1982,ALABAMA,AL,US HOUSE,"SHELBY, Richard C.",DEMOCRAT,124070,128139,124070.0,87901.0,SHELBY,RICHARD,,,S000320
152,152,1982,ARKANSAS,AR,US HOUSE,"HAMMERSCHMIDT, John Paul",REPUBLICAN,133909,202998,124208.0,133909.0,HAMMERSCHMIDT,JOHN,,,H000124
